LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-01-20 23:15:03,1900-01-00 00:00:00,,18:0F:76:8D:5E:4E,-72, ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,,5A:5A:1B:05:C9:7B,-94,,0.000000,0.000000,0.000,0.000,Client
2026-01-20 23:15:03,1900-01-00 00:00:00,,42:1B:AD:28:3C:79,-93,,0.000000,0.000000,0.000,0.000,Client
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:03,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,,26:09:25:11:98:8B,-82,,0.000000,0.000000,0.000,0.000,Client
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-01-20 23:15:04,1900-01-00 00:00:00,creative@,18:0F:76:8D:5E:4E,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
